NOMBRE DEL ATM;lat;lon
11 De Noviembre;10,992679;-74,7918232
14 Paso Ancho;3,4516467;-76,5319854
20 De Julio;4,568412;-74,1017183
20 De Julio II;4,568412;-74,1017183
Acacias;3,9846721;-73,7623894
Acacias II;3,9846721;-73,7623894
Acopi;3,4806609;-76,5218056
Acueducto Bucaramanga;7,1305213;-73,1096962
Aerop.Palonegro;7,127977;-73,181006
Aeropuerto Cali;3,5439613;-76,3840645
Aeropuerto Cúcuta;7,9271798;-72,5081768
Aeropuerto El Dorado;4,7014128;-74,1444969
Aeropuerto Ernesto Cortizo;10,8866016;-74,776425
Aeropuerto Rafael Núñez;10,4224888;-75,5503278
Aeropuerto Rionegro;6,1707634;-75,4276201
Aeropuerto San Andrés;12,5834746;-81,6982909
Aeropuerto Santa Marta;11,2403547;-74,2110227
Aeropuerto Valledupar;10,4336195;-73,2477882
Aeropuerto El Dorado T2;4,7014128;-74,1444969
Agencia Albania 1;11,160651;-72,591907
Agencia Albania 2;11,160651;-72,591907
Agencia Villagarzon II;1,0336615;-76,6177844
Aguas De Manizales;5,075665;-75,5190866
Aguazul 1;5,170847;-72,550819
Aguazul 2;5,170847;-72,550819
Álamos;4,6871057;-74,1143435
Albania-Cerrejón 1;11,160651;-72,591907
Albania-Cerrejón 2;11,160651;-72,591907
Albania-Cerrejón 3;11,160651;-72,591907
Alcaldía De Medellín;6,2448274;-75,5721031
Almacén Sao Popayan;2,4464866;-76,6058685
Almendros 1;2,9289619;-75,2872013
Almendros 2;2,9289619;-75,2872013
Almendros 3;2,9289619;-75,2872013
Alquería;4,6771374;-74,0654726
Alto Prado 1;11,002099;-74,8076228
Ambala 1;4,4524025;-75,2444417
Ambala 2;4,4524025;-75,2444417
Apartado 1;7,8799716;-76,6333145
Apartado 2;7,8799716;-76,6333145
Apartado 3;7,8799716;-76,6333145
Apartado 4;7,8799716;-76,6333145
Apuestas 8A;4,5324505;-75,6737145
Aracataca;10,5932339;-74,1925312
Arauca 1;7,0856427;-70,7567824
Arauca 2;7,0856427;-70,7567824
Arauca 3;7,0856427;-70,7567824
Arauquita;7,0267739;-71,4311584
Arjona;10,3863505;-75,4664019
Armada;4,6448717;-74,09632
Armada Cámara De Oficiales;4,6599007;-74,1044627
Armenia Carrera 13;4,533936;-75,6708967
Armenia Centro III;4,5340736;-75,6737144
Armenia Ctro 1;4,5340736;-75,6737144
Armenia Ctro 2;4,5340736;-75,6737144
Armenia Norte;4,5346485;-75,6711218
Austin Reed;4,8087174;-75,690601
Autopista Calle 184;4,7607703;-74,0438456
Av La Toma II;2,9304396;-75,2875487
Av Roosevelt;3,4329112;-76,5388907
Av. Cero Cúcuta;7,8855219;-72,4982857
Av. El Dorado;4,6508232;-74,1003785
Av. La Playa 1;6,2490772;-75,5636901
Av. La Playa 3;6,2490772;-75,5636901
Avanza;4,8090093;-74,103519
Avda 30 Agosto;4,8125617;-75,7093218
Avda Jiménez I;4,6021724;-74,0753416
Avda Jiménez II;4,6021724;-74,0753416
Avenida 19 I;4,6054927;-74,0713561
Avenida 19 II;4,6054927;-74,0713561
Avenida 19 III;4,6054927;-74,0713561
Avenida Américas;3,4642043;-76,5249476
Avenida Cero 1;7,8856299;-72,4981756
Avenida Cero 2;7,8856299;-72,4981756
Avenida Chile 1;4,6565556;-74,0568745
Avenida Chile 2;4,6565556;-74,0568745
Avenida Estación;3,4683087;-76,5239902
Avenida La Toma;2,9304396;-75,2875487
Avenida Libertador;7,124831;-73,1286499
Avenida Panamericana;2,4453671;-76,6074719
Avenida Playa 2;6,2490772;-75,5636901
Avenida Sexta 1;7,8910788;-72,4757071
Avenida Sexta 3;7,8910788;-72,4757071
Avianca Calle 26;4,6456987;-74,0995226
Bahía Málaga;3,97;-77,32
Bahía Santa Marta;11,2403547;-74,2110227
Bancamia;4,6515733;-74,0601574
Barbosa;5,9306631;-73,6179444
Barrancabermeja;7,0594388;-73,8679676
Barrancabermeja 1;7,0617085;-73,8519319
Barrancabermeja 2;7,0617085;-73,8519319
Barrancabermeja 3;7,0617085;-73,8519319
Barrancabermeja II;7,0594388;-73,8679676
Barrancas 1;10,9556419;-72,795543
Barrancas 2;10,9556419;-72,795543
Barrio Santander;4,7109886;-74,072092
Barzal Movilco;4,1428849;-73,6382411
Base Coveñas;9,402597;-75,681642
Base Naval;10,4141432;-75,5495393
Base Naval;10,3905383;-75,5298536
Bat Séptima Brigada-Villavicencio;3,4516467;-76,5319854
Bat. Pedro Nel Ospina;6,3367288;-75,5595887
Batallón 21 Vargas;3,544831;-73,705281
Batallón Clara Elisa Narváez;7,7764833;-76,6550496
Batallón De Comunicaciones De Faca;4,8193301;-74,3599515
Batallón Espro Nilo;4,307339;-74,619935
Batallón Guasimales;7,8706457;-72,5042141
Batallón Guepi No. 35;1,6153858;-75,6042364
Batallón La Popa;10,4672764;-73,269824
Batallón La Popa II;10,4672764;-73,269824
Batallón Magdalena;1,84536;-76,09112
Batallón Malambo;10,8797013;-74,7819819
Batallón Paraíso;11,0133465;-74,8052617
Batallón Quibdó;5,68283;-76,59578
Batallón Rondón;10,886123;-72,851515
Batallón Rooke;4,442469;-75,2402796
Batallón Saravena;-3,7702;-70,38306
Batallón Serviez;4,151989;-73,637087
Batallón Tenerife;2,920487;-75,2758187
Batallón Zarzal;4,091786;-76,4764947
Bavaria Tocancipa;4,9606511;-73,9216853
Baviera 1;4,6200908;-74,0687389
Belén 1;6,2329088;-75,5958866
Belén 2;6,2329088;-75,5958866
Bello 1;6,3346229;-75,5580625
Bello 2;6,3346229;-75,5580625
Belmira 1;4,7208298;-74,040095
Belmira 2;4,7208298;-74,040095
Bocagrande 1;10,4030496;-75,5541216
Bocagrande 2;10,4030496;-75,5541216
Bogotá;4,6025621;-74,0724846
Brigada 29;2,4577694;-76,6066951
Brigada XVI Yopal;5,348903;-72,400523
Bucaramanga 1;7,1193581;-73,1240863
Bucaramanga 2;7,1193581;-73,1240863
Bucaramanga 3;7,1193581;-73,1240863
Buenaventura 1;3,8910186;-77,0789841
Buenaventura II;3,8879797;-77,0777809
Buenavista;11,2323396;-74,1996773
Buga 1;3,8996421;-76,3001439
Buga 2;3,8996421;-76,3001439
Bulevar Niza;4,712236;-74,07083
Bulevares;4,8069428;-75,6908471
Bunker De La Fiscalía;4,637879;-74,09763
C. C. Valledupar 1;10,4706744;-73,2425203
C. C. Valledupar 2;10,4706744;-73,2425203
C. S.Esmeralda;4,626227;-74,0566026
C.C. Centenario;3,453455;-76,5521931
C.C. El Retiro;4,6659935;-74,0564147
C.C. Sancancio;5,0536263;-75,4891041
C.C. Supe ejecutivos I;10,3986778;-75,4939564
C.C. Supe ejecutivos II;10,3986778;-75,4939564
C.C. Tunal I;4,582988;-74,117979
C.C. Tunal II;4,582988;-74,117979
C.C. Tunal III;4,582988;-74,117979
C.C.Plaza Chía;4,8643433;-74,0434677
Cabellano 1;7,1131904;-73,1100661
Cabellano 2;7,1131904;-73,1100661
Cable Plaza;5,0670253;-75,5157662
Cable Plaza 2;5,0670253;-75,5157662
CAD;4,625969;-74,0816
Cafam Floresta I;4,6865188;-74,0739124
Cafam Melgar;4,199085;-74,6321311
Cajica;4,9195381;-74,0257716
Calarcá;4,5238935;-75,6430882
Calasanz;6,2627463;-75,596683
Cali P/Pal 2;3,4525911;-76,530443
Cali Principal 1;3,4525911;-76,530443
Calima Armenia;4,5348589;-75,6647019
Calima I;3,4867643;-76,4906621
Calima II;3,4867643;-76,4906621
Calima La 14 1;3,4827136;-76,4970526
Calima La 14(2);3,4827136;-76,4970526
Calle 100;4,6832569;-74,0484205
Calle 34;3,4235051;-76,5088436
Calle 76;11,0004865;-74,8082585
Calle 80 1;4,6571773;-74,057764
Calle 80 2;4,6571773;-74,057764
Calle 84;11,0058258;-74,8191476
Calle 84 2;11,0058258;-74,8191476
Calle 85;4,6709845;-74,0570643
Calle 9 Cali (1);3,4145352;-76,5402882
Calle 9 Cali 2;3,4145352;-76,5402882
Calle 98 1;4,683411;-74,0494297
Calle 98 2;4,683411;-74,0494297
Calle Bonita;4,4418562;-75,2397466
Calle Del Comercio I;9,3011132;-75,3953604
Calle Del Comercio II;9,3011132;-75,3953604
Calle Grande I;10,4742872;-73,2484819
Calle Grande II;10,4742872;-73,2484819
Calle Murillo II;10,9841989;-74,785513
Caloto;3,033544;-76,408081
Cámara De Comercio Del Putumayo;0,4944365;-76,4964774
Candelaria Valle;4,596688;-74,0771182
Cantón Norte;4,692932;-74,033918
Cañaveral 1;7,1378719;-73,1227677
Cañaveral 3;7,1378719;-73,1227677
Capricentro;6,1822699;-75,5904401
Cárcel La Modelo;4,6342813;-74,1068458
Cárcel La Picota;4,5510882;-74,1208757
Cárcel De Mujeres Buen Pastor;4,6921443;-74,0583111
Carrera 1A 1;3,4686189;-76,5117615
Carrera 27 1;7,1304052;-73,1198771
Carrera 27 2;7,1304052;-73,1198771
Carrera 43 (2);10,9944496;-74,8123156
Carrera 43 1;10,9944496;-74,8123156
Carrera 80 (2);6,2450475;-75,601349
Carrera 80 1;6,2450475;-75,601349
Carrera Once;4,5991911;-74,0809166
Carrera Segunda;8,7620354;-75,8897562
Cartagena 1;10,4224888;-75,5503278
Cartagena 2;10,4224888;-75,5503278
Cartago;4,7506866;-75,9137164
Cartago 1;4,7506866;-75,9137164
Cartago 2;4,7506866;-75,9137164
Carulla Alhambra (2546);4,6908766;-74,0297442
Carulla Express Manga (2533);10,3910485;-75,4794257
Carulla Pance Cali (2594);3,3440787;-76,5302115
Carulla San Nicolás (2526);4,7008461;-74,0805613
Carulla Santa Lucia (2538);10,39202;-75,4802799
Carulla Rincón De La Colina (2569);4,7411183;-74,0637737
Carvajal 1;4,6178798;-74,1490335
Carvajal 2;4,6178798;-74,1490335
Castilla;4,6378353;-74,1429387
Caucasia 1;7,9881196;-75,1920746
Caucasia 2;7,9881196;-75,1920746
Caucasia 3;7,9881196;-75,1920746
Cavipetrol;4,6257661;-74,067623
Cc Caribe Plaza;10,4134537;-75,529947
CC El Parque Soacha 2;4,5995351;-74,0746017
Cc El Pórtico Facatativá;4,8176755;-74,3581424
Cc La Casona Zipaquirá;5,0179999;-74,0048564
Cc Parque Caldas;5,0681857;-75,5127688
Cc River Plaza;7,8880402;-72,5034352
Cc Santafé 2;6,2087927;-75,5712914
Cc Sushiman;11,5431488;-72,9092099
Cc. Centro Mayor;4,5903013;-74,1239089
Cc. Hacienda Santa Bárbara;4,6943656;-74,033032
Cc. La Herradura;4,0904984;-76,1931105
CC. Madrid;4,7334455;-74,2650199
Cc. Unicentro Villavicencio;4,1410156;-73,634946
Ccial Alamedas Del Sinú;8,7619577;-75,8735203
Ccial Alcaraván;5,335024;-72,385588
Ccial Americano;10,9853969;-74,8113301
Ccial Baranoa;10,7952776;-74,9168932
Ccial Brisas Plaza;3,8668225;-76,9975654
Ccial Campanario;2,4594766;-76,5948277
Ccial Caracolí;7,072429;-73,1047859
Ccial Chipichape II;3,4759519;-76,5278169
Ccial Ciudad Victoria;4,8090474;-75,678769
Ccial El Puente San Gil I;6,5471194;-73,1287178
Ccial El Puente San Gil II;6,5471194;-73,1287178
Ccial Galerías;4,6421111;-74,0757702
Ccial Galerías Cartago;4,7428267;-75,916415
Ccial Gran Boulevar;11,0137606;-74,8366679
Ccial Gran Plaza Florencia;1,6233443;-75,6056266
Ccial Guatapuri;10,4991188;-73,2784969
Ccial La 14 Tuluá;4,0733357;-76,1906996
Ccial La Quinta;7,115237;-73,1082781
Ccial Los Angeles Mall;10,9814685;-74,7792713
Ccial Los Ejecutivos;10,4004396;-75,49416
Ccial Mayales;10,4552327;-73,2428449
Ccial Mayales II;10,4552327;-73,2428449
Ccial Mayorca;6,1604806;-75,6046536
Ccial Megacity;5,0240059;-74,0022303
Ccial Mercurio;4,5847129;-74,2185003
Ccial Mercurio II;4,5847129;-74,2185003
Ccial Metropolitano;10,9238327;-74,7959434
Ccial Metropolitano III;10,9238991;-74,7979187
Ccial Metropolitano II;10,9238991;-74,7979187
Ccial Molinos;6,2329665;-75,6044373
Ccial Monterrey;6,214431;-75,57635
Ccial Morichal Plaza;4,875246;-72,893364
Ccial Nogal Plaza;4,132486;-73,6323677
Ccial Nuestro Urabá;7,8813861;-76,6319669
Ccial Panorama;10,9678601;-74,7811288
Ccial Parque Ctral. Bquilla;10,984015;-74,7894918
Ccial Pereira Plaza;4,8088885;-75,6911785
Ccial Planeta Plaza;8,412749;-75,584048
Ccial Platino;6,1873428;-75,5974727
Ccial Plaza De Las Américas V;4,621625;-74,137226
Ccial Plaza Imperial III;4,7501106;-74,0954527
Ccial Portal Del Vergel;4,4470013;-75,1899992
Ccial Premium Plaza;6,2297992;-75,5698227
Ccial Puerto Príncipe;4,6056074;-74,088491
Ccial San Fernando;10,3840945;-75,4683407
Ccial San Silvestre II;7,06734;-73,85813
Ccial San Silvestre III;7,06734;-73,85813
Ccial Santafé Piso 1;4,7626019;-74,0462687
Ccial Savvana;6,1468992;-75,3795588
Ccial Suricentro Montería;8,7447848;-75,8940804
Ccial Terminal Del Norte Medellín;6,2793279;-75,5711273
Ccial Único Barranquilla;10,9894465;-74,8123441
Ccial Único Dos Quebradas I;4,8293076;-75,6791446
Ccial Único Dos Quebradas II;4,8293076;-75,6791446
Ccial Ventura Plaza;7,886389;-72,5043415
Ccial Country Plaza;11,0047136;-74,8092497
Ccial Gran Estación;4,6476233;-74,1016282
Ccial Gran Estación II;4,6476233;-74,1016282
Ccial Gran Estación III;4,6476233;-74,1016282
Ccial Gran Plaza Medellín;6,246686;-75,5725442
Ccial Novo Faca;4,8173403;-74,3522283
Ccial San Rafael Bogotá;4,7109886;-74,072092
Ccial San Silvestre I;7,06734;-73,85813
Ccial Tintal Plaza;4,6431002;-74,1558697
Ccial Y Habitacional Santa Inés;5,5505578;-73,3520698
Cedritos;4,7301966;-74,0453158
Cedritos 1;4,673625;-74,1639543
Cedritos 2;4,673625;-74,1639543
Cenabastos I;7,9178136;-72,4930308
Cenabastos II;7,9178136;-72,4930308
Cenac Pichincha;3,3830798;-76,5445362
Cenop;4,149819;-74,884341
Centenario;3,4539402;-76,5378707
Central De Abastos;6,1877248;-75,5901351
Central De Pagos;6,2486101;-75,5631143
Central De Pagos Cali;3,4517852;-76,5318917
Central De Pagos Cali 2;3,4517852;-76,5318917
Central De Pagos Único;10,9894465;-74,8123441
Centro 93 I;4,6775469;-74,0517709
Centro Andino I;4,6661661;-74,0525511
Centro Andino II;4,6661661;-74,0525511
Centro Andino III;4,6661661;-74,0525511
Centro Angora;7,9092803;-72,4981473
Centro Chía 1;4,867044;-74,036418
Centro Chía 2;4,867044;-74,036418
Centro Chia III;4,8655798;-74,0367348
Centro Comercial Av Chile II;4,6571773;-74,057764
Centro Comercial Av. Chile III;4,6571773;-74,057764
Centro Comercial Cacique III;7,0992015;-73,1071331
Centro Comercial El Gran San;4,5989871;-74,0793181
Centro Comercial El Prado;10,9897256;-74,7885251
Centro Comercial El Progreso;4,8318256;-75,6805678
Centro Comercial Florida Blanca;7,0701301;-73,1051707
Centro Comercial Hayuelos;4,6639095;-74,1302354
Centro Comercial Innovo Plaza Duitama;5,8311754;-73,0333315
Centro Comercial La 14 Calima;4,6181975;-74,086042
Centro Comercial Las Palmas;11,2266352;-74,1966611
Centro Comercial Marden;3,5379718;-76,2971657
Centro Comercial Mercacentro;4,4143743;-75,1771067
Centro Comercial Milenio  II;4,6305024;-74,1691355
Centro Comercial Portal Del Quindío;4,5587584;-75,6550884
Centro Comercial Santa Lucia Chía;4,8583518;-74,054804
Centro Comercial Titán Plaza;4,6947594;-74,0878288
Centro Comercial Titán Plaza II;4,6955812;-74,0863134
Centro Comercial Único;3,4642425;-76,5008345
Centro Comercial Único Yumbo;3,5815178;-76,4869927
Centro Comercial Buga Plaza;3,4516467;-76,5319854
Centro Comercial Cacique;7,0992015;-73,1071331
Centro Comercial Iwoka;5,7240845;-72,9226263
Centro Comercial Único Pasto;1,2165533;-77,2885758
Centro Commercial Av Chile I;4,6571773;-74,057764
Centro De Computo;4,6233955;-74,0746382
Centro Empresa;3,4921213;-76,5218326
