"NOMBRE DEL ATM";"CAMBIOS BASE";"SITE DIEBOLD";"COD DEL CAJERO";"DIRECCION DEL ATM";"TERRITORIAL";"ZONA";"CAJEROS VIP";"CIUDAD";"Código Municipal DANE";"Nombre del  Departamento";"CODIGO DE LA OFICINA";"NOMBRE DE   LA OFICINA";"DIRECCION DE LA OFICINA";"TELEFONO DE LA OFICINA";"PROVEEDOR DE MONITOREO";"MARCA";"MODELO";"TIPO DE PROCESADOR DIEBOLD";"SERIAL  Wincor   Diebold ";"CODIGO DE ACTIVO FIJO";"CARGA";"NIVEL DE PROVISION";"UBICACIÓN ESPECIFICA";"SITE TOPPER";"SEGMENTO";"TIPO DE UBICACIÓN";"TRANSACCIONALIDAD L V";"TRANSACCIONALIDAD FINES DE SEMANA";"PROTECTOR DE TECLADO";"FECHA DE MAQUINA";"FECHA DE ENTRADA EN PRODUCCION EN EL PUNTO";"AÑOS DE LOS CAJEROS";"FECHA DE ENTREGA DE MAQUINA A PUNTO";"TIPO DE ENLACE";"MEDIO PRINCIPAL";"MEDIO DE CONTINGENCIA";"IP";"Gateway";"MASCARA DE RED";"MODULO TELDAT";"PROVEEDOR COMUNICACIONES";"PU";"IDNUM";"DEPOSITARIOS ACTIVOS EFECTIVO";"DEPOSITARIOS ACTIVOS CHEQUE";"TRANSPORTADORA";"CLASIFICACION TDV";"FONDO DE EFECTIVO";"RUTA NOCTURNA";"PRIMER NIVEL";"SEGUNDO NIVEL";"Días de Aseo COLVAPOR";"Fecha Cargue RKL 1";"CUPO DEPOSITARIO";"Nro  Gavetas";"TIPO DE BILLETE";"CUPO AUTORIZADO";"GAVETA 1";"GAVETA 2";"GAVETA 3";"GAVETA 4";"GAVETA 5";"BILLETES DE 50 000   20 000";"BILLETES DE 50 000   20 000   10 000";"ANTISKIMING";"CONFIGURACION ATM";"DIAS DE SERVICIO";"HORARIO DE APERTURA";"HORARIO  DE CIERRE";"HORARIO DE SERVICIO";"METODO CIERRE CONSOLA";"LLAVES";"LLAVE DE SEGURIDAD";"LLAVES SITE 1";"LLAVES SITE 2";"MARCA UPS";"CAPACIDAD UPS";"Medio";"MONITOREO DE ALARMAS";"Proveedor de Vigilancia";"APOYO AL NEGOCIO";"CELULAR";"GERENTE PROMOTOR TRANSACCIONAL";"CONTACTO EN EL PUNTO";"NOMBRE";"TELEFONO";"DIRECCION O CORREO";"GERENTE";"CORREO";"CEL";"SUBGERENTE";"CORREO2";"CEL__1";"CORREO OFICINA";"PAGO DE NOMINAS";"INGRESO TDV";"INGRESO PROVEEDORES";"ANTELACIÓN PARA TRAMITAR PERMISOS";"OBSERVACIONES PARA TRAMITES DE PERMISOS";"ENVIO DATOS DE PROOVEDORES";"FECHA DEL ULTIMO ENVIO";"INGRESO PROVEEDORES DIAS";"INGRESO PROVEEDORES HORAS";"ENVIO DE CORREO";"ANTELACION PARA TRAMITAR PERMISOS";"MULTIVENDOR";"zipcode";"lat";"lon";"total_otros_ATMs"
"11 De Noviembre";NA;"3";853;"CRA 54 NO 55-149 L 5";"NORTE";"Barranquilla";"N/A";"BARRANQUILLA";"08 - 001";"Atlántico";464;"GRANCENTRO";"CARRERA 53 No. 68B-125";"3601300";"DIEBOLD";"WINCOR";"WINCORD 2100 / 6812";"N/A";"5300190400";"1,30E+11";"POSTERIOR";"NIVEL 7";"Centro Comercial";"PENDIENTE";"CENTRO COMERCIAL";"SAT";"MEDIA";"MEDIA";"SI";"19/10/2006";"19/10/2006";12;"N/A";"INDEPENDIENTE";"FIBRA";"3G";"81.128.11.130";"81.128.11.129";"255.255.255.240";"SI APLICA";"TELEFONICA";"CW4";"4644";"N/A";"N/A";"PROSEGUR";"URBANO";"BARRANQUILLA";"SI";"WINCOR";"WINCOR";"LUNES  A DOMINGO";"40961";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"SIN INSTALAR";"WIN7";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"WINCOR - TRANSPORTADORA";"N/A";NA;NA;"AUDITRON";"6 KVA";"ETH";"CGA";"SECURITAS";"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"OFICINA";"MANUEL ADMINISTRADOR.";"3226125509 ";" larangolondono@yahoo.com";"JORGE ELIECER RIPOLL LORA";"jorge.ripoll@bbva.com";"3164813208";"ASTRID FLOREZ AWAD";"astrid.florez@bbva.com";"3175163537";"GRANC464.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"NO SE NECESITA";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"N/A";"80002";10,992679;-74,7918232;18
"14 Paso Ancho";NA;"4";315;"Cll 14 con kr 80 en el centro comercial";"OCCIDENTE";"Pacifico Sur";"N/A";"CALI";"76 - 001";"Valle del Cauca";875;"PASOANCHO";"Avenida pasoancho numero 72 - 14/16 Cali Valle";"5558728-29-30-31";"DIEBOLD";"WINCOR";"WINCORD 2100 / 6812";"N/A";"5300126727";"1,30E+11";"POSTERIOR";"NIVEL 7";"Centro Comercial";"PENDIENTE";"CENTRO COMERCIAL";"SAT";"MEDIA";"ALTA";"SI";"09/03/2006";"09/03/2006";13;"N/A";"INDEPENDIENTE";"FIBRA";"3G";"81.128.12.195";"81.128.12.193";"255.255.255.240";"NO APLICA";"TELEFONICA";"OB2";"8752";"N/A";"N/A";"BRINKS";"URBANO";"CALI";"NO";"WINCOR";"WINCOR";"LUNES  A DOMINGO";"40963";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"SIN INSTALAR";"WIN7";"L - D";"N/A";"N/A";"15 HORAS (8:00 AM - 11:59 PM)";"N/A";"WINCOR - TRANSPORTADORA";"MEDECO";NA;NA;"POWERWARE";"1 KVA";"ETH";"CGA";"SECURITAS";"yaneth.rueda@bbva.com";3182899443;"MELINA RUSI";"JEFE NACIONAL";"Wilfredo Velez";" 3148144619-3148870113";"wilfredo.velez@la14.com-central.seguridad@la14.com";"JUAN FERNANDO MORA RUIZ";"juanfernando.mora@bbva.com";"3182111944";"MILTON CESAR DE LA CRUZ MOLINA";"milton.de_la_cruz@bbva.com";"3183730211";"pasoa875.co@bbva.com";NA;"LUNES A DOMINGO Y FESTIVOS 8:00:00-20:00:00";"SIN RESTRICCION";"24 HORAS";"UN DIA";"CORREO BANCO";"N/A";"Dom - Dom";"06:00 - 23:00";"SI";"24 HORAS";"N/A";NA;3,4516467;-76,5319854;16
"20 De Julio";NA;"5";813;"CR 10 30F - 08 SUR";"BOGOTÁ";"Bogota Sur";"N/A";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";552;"VEINTE DE JULIO";"Carrera 10 No. 30 F 08 S";"2094296-2094221-2094201-2094223-2094284";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550WH100043";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"MEDIA";"ALTA";"SI";"30/09/2016";"23/05/2017";2;"42874";"COMPARTIDO";"FIBRA";"COBRE";"81.128.80.226";"81.128.80.225";"255.255.255.240";"NO APLICA";"TELEFONICA";"FC2";"5522";"N/A";"N/A";"PROSEGUR";"URBANO";"BOGOTA";"SI";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"40953";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"0.25";"0.91666666666666663";"16 HORAS (6:00 AM - 10:00 PM)";"VISE";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"PRESTIGE";"1 KVA";"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"OFICINA";"0";"0";"0";"CIELO MAR LEAL";"cielo.leal@bbva.com";"3175139677";"SANDRA PATRICIA GUTIERREZ";"sandra.gutierrez@bbva.com";"3158317672";"VEIJU552.co@bbva.com";"pago de pensionados del 25 al 5 de cada mes";"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";"110411";4,568412;-74,1017183;4
"20 De Julio II";NA;"5";93;"CRA 10 30F-08 SUR";"BOGOTÁ";"Bogota Sur";"N/A";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";552;"VEINTE DE JULIO";"Carrera 10 No. 30 F 08 S";"2094296-2094221-2094201-2094223-2094284";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550WH100044";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"ALTA";"ALTA";"SI";"30/09/2016";"23/05/2017";2;"42874";"COMPARTIDO";"FIBRA";"COBRE";"81.128.80.227";"81.128.80.225";"255.255.255.240";"NO APLICA";"TELEFONICA";"FC1";"5521";"N/A";"N/A";"PROSEGUR";"URBANO";"BOGOTA";"SI";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"40953";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"0.25";"0.91666666666666663";"16 HORAS (6:00 AM - 10:00 PM)";"VISE";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"PRESTIGE";"1 KVA";"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"OFICINA";"0";"0";"0";"CIELO MAR LEAL";"cielo.leal@bbva.com";"3175139677";"SANDRA PATRICIA GUTIERREZ";"sandra.gutierrez@bbva.com";"3158317672";"veiju552.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";"110411";4,568412;-74,1017183;4
"Acacias";NA;"1018";1158;"CRA 18 12 -16";"CENTRO";"Centro Oriente";"N/A";"ACACÍAS";"50 - 006";"Meta";296;"ACACIAS";"Cra 18  # 12-16";"(098) 6567259-6566380-6564530-6568035-6560958-6566455";"DIEBOLD";"DIEBOLD";"OPTEVA 522";"Canyon";"1522VGR00615";"1,30E+11";"FRONTAL";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"MEDIA";"ALTA";"SI";"02/12/2011";"26/12/2011";7;"N/A";"COMPARTIDO";"FIBRA";"FIBRA";"81.128.66.34";"81.128.66.33";"255.255.255.240";"NO APLICA";"TELEFONICA";"881";"2961";"N/A";"N/A";"PROSEGUR";"INTERURBANO 2";"VILLAVICENCIO";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"40939";"N/A";5;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DIE7";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";"Cargue Frontal";"N/A";NA;NA;"ETH";"CGA";"SECURITAS";"mary.bravo@bbva.com";3182899379;"JAIME ANDRES CUELLAR (Zona Centro Oriente y Antiplano)
NELLY QUINTERO SÁNCHEZ (Zona Santanderes y Centro Occidente)";"OFICINA";"0";"0";"0";"ADRIANA ROCIO DAZA ALONSO";"ADRIANA.DAZA@BBVA.COM.CO";"3176699637";"FRANCY MILENA CASTAÑO VARGAS";"FRANCYMILENA.CASTANO@BBVA.com";"317 433 2165";"ACAC296.co@bbva.com";NA;"L-D 06:00 - 18:00    SOLICITUD DE UN DIA PARA OTRO";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"N/A";"507001";3,9846721;-73,7623894;17
"Acacias II";NA;"1018";1250;"CRA 18 12 -16";"CENTRO";"Centro Oriente";"N/A";"ACACÍAS";"50 - 006";"Meta";296;"ACACIAS";"Cra 18  # 12-16";"(098) 6567259-6566380-6564530-6568035-6560958-6566455";"DIEBOLD";"DIEBOLD";"OPTEVA 720  FULL FUNCTION";"Canyon";"1720VH104204";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"ALTA";"ALTA";"SI";"20/12/2012";"27/12/2012";6;"N/A";"COMPARTIDO";"FIBRA";"COBRE";"81.128.66.35";"81.128.66.33";"255.255.255.240";"NO APLICA";"TELEFONICA";"882";"2962";"N/A";"N/A";"PROSEGUR";"INTERURBANO 2";"VILLAVICENCIO";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"41270";"N/A";5;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"20000";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";"Medeco";NA;NA;NA;"ETH";"CGA";"SECURITAS";"mary.bravo@bbva.com";3182899379;"JAIME ANDRES CUELLAR (Zona Centro Oriente y Antiplano)
NELLY QUINTERO SÁNCHEZ (Zona Santanderes y Centro Occidente)";"OFICINA";"0";"0";"0";"ADRIANA ROCIO DAZA ALONSO";"ADRIANA.DAZA@BBVA.COM.CO";"3176699637";"FRANCY MILENA CASTAÑO VARGAS";"FRANCYMILENA.CASTANO@BBVA.com";"317 433 2165";"ACAC296.co@bbva.com";NA;"L-D 06:00 - 18:00    SOLICITUD DE UN DIA PARA OTRO";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";"507001";3,9846721;-73,7623894;17
"Acopi";NA;"6";79;"AV 4 NORTE 64N-74";"OCCIDENTE";"Pacifico Norte";"N/A";"CALI";"76 - 001";"Valle del Cauca";72;"ACOPI";"AV  N # 6N-74";"6540524-29-34";"DIEBOLD";"WINCOR";"WINCORD 2100 / 6812";"N/A";"5300126690";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"MEDIA";"MEDIA";"SI";"03/02/2006";"03/02/2006";13;"N/A";"COMPARTIDO";"FIBRA";"COBRE";"81.128.42.130";"81.128.42.129";"255.255.255.240";"NO APLICA";"TELEFONICA";"201";"721";"N/A";"N/A";"PROSEGUR";"URBANO";"CALI";"SI";"WINCOR";"WINCOR";"SAB-DOM-FES";"40959";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"SIN INSTALAR";"WIN7";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"WINCOR - TRANSPORTADORA";"MEDECO";NA;NA;NA;NA;"ETH";"CGA";"SECURITAS";"yaneth.rueda@bbva.com";3182899443;"MELINA RUSI";"OFICINA";"0";"0";"0";"MANUEL LEONARDO NAVIA PERDOMO";"manueln.navia@bbva.com";"317 5387112";"RICARDO AMAYA CUERVO";"ricardo.amaya@bbva.com";"316 5212062";"ACOPI072.co@bbva.com";NA;"SIN RESTRICCION  ";"SIN RESTRICCION";"N/A";"N/A";"NO SE NECESITA";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"N/A";NA;3,4806609;-76,5218056;5
"Acueducto Bucaramanga";NA;"1";400;"DIAG 32 30A - 51";"CENTRO";"Santanderes";"VIP";"BUCARAMANGA";"68 - 001";"Santander";188;"CARRERA 27";"CRA 27 No. 19-10";"(097) 6328840-6328818";"DIEBOLD";"WINCOR";"WINCORD 2100 / 6812";"N/A";"5300126678";"1,30E+11";"POSTERIOR";"NIVEL 7";"Empresa";"PENDIENTE";"NOMINA";"SAT";"ALTA";"ALTA";"SI";"31/03/2006";"31/03/2006";13;"N/A";"INDEPENDIENTE";"FIBRA";"3G";"81.128.6.162";"81.128.6.161";"255.255.255.240";"SI APLICA";"TELEFONICA";"583";"1884";"N/A";"N/A";"PROSEGUR";"URBANO";"BUCARAMANGA";"NO";"WINCOR";"WINCOR";"SAB-DOM-FES";"40954";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"SIN INSTALAR";"WIN7";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"WINCOR - TRANSPORTADORA";"LAMINA";NA;NA;NA;NA;"ETH";"CGA";"SECURITAS";"mary.bravo@bbva.com";3182899379;"JAIME ANDRES CUELLAR (Zona Centro Oriente y Antiplano)
NELLY QUINTERO SÁNCHEZ (Zona Santanderes y Centro Occidente)";"Banca Institucional - Gestor Interno";"Erika Cristina Duran Tarazona/ BANCA BUCARAMANGA/Jenny Sarmiento";"Tel. 097 + 6422573 Ext 47026,47028,47021Tel. (7) 6321741";"eduran@amb.com.co,gsarmiento@amb.com.co";"ADRIANA KATERINE SANDOVAL ACELAS";"adrianakaterine.sandoval@bbva.com";"3164497515";"0";"0";"3156385568";"CRA27188.co@bbva.com";"15 y 30 del Mes";"SIN RESTRICCION";"De lunes a viernes de 7:00am a 12:00 y de 1:00pm a 5:00 pm.";"N/A";"Para el ingreso los fines de semana  se debe enviar la  autorización de Ingreso el Viernes anterior a la visita antes de las 2pm. El correo lo deben imprimir y dejar en la portería del Acueducto para autorizar el ingreso.";"CORREO BANCO";"N/A";"Lun - Vie";"07:00 - 17:00";"SI";"SIN ANTELACION";"N/A";"680002";7,1305213;-73,1096962;10
"Aerop.Palonegro";NA;"8";620;"AEROP.PALONEGRO PISO 2";"CENTRO";"Santanderes";"N/A";"BUCARAMANGA";"68 - 001";"Santander";840;"CENTRAL DE ABASTOS BUCARAMANGA";"Via Palenque - Cafe madrid N 44-96 Bucaramanga - Santander";"6768181 PBX 6769093 FAX";"DIEBOLD";"WINCOR";"WINCORD 2100 / 6812";"N/A";"5300186838";"1,30E+11";"POSTERIOR";"NIVEL 7";"Aeropuerto";"PENDIENTE";"AEROPUERTO";"SAT";"BAJA";"MEDIA";"SI";"04/09/2007";"04/09/2007";12;"N/A";"INDEPENDIENTE";"COBRE";"3G";"81.128.8.162";"81.128.8.161";"255.255.255.240";"SI APLICA";"TELEFONICA";"991";"3331";"N/A";"N/A";"PROSEGUR";"INTERURBANO";"BUCARAMANGA";"SI";"WINCOR";"WINCOR";"LUNES  A DOMINGO";"40953";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"SIN INSTALAR";"WIN7";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"WINCOR - TRANSPORTADORA";"MEDECO - LAMINA";NA;NA;"POWERWARE";"1 KVA";"ETH";"CGA";"SECURITAS";"mary.bravo@bbva.com";3182899379;"JAIME ANDRES CUELLAR (Zona Centro Oriente y Antiplano)
NELLY QUINTERO SÁNCHEZ (Zona Santanderes y Centro Occidente)";"ENCARGADO";"ALEX LEAL";"3153113829 - 976569451- 976569447 - 976337544 - 976569400 FAX - 976569447 Ext. 1505 3153189682";"alex.leal@aerooriente.com.co-ccobga@aerooriente.com.co-nohora.tamayo@aerooriente.com.co-liliana.rueda@aerooriente.com.co-Frank.garcia@diebold.com- Giovanny.Barrera@dieboldnixdorf.com- Dennys.Olarte@dieboldnixdorf.com- Juan.Calderon@dieboldnixdorf.com";"ZAIDA ARDILA AVENDAÑO";"zaida.ardila@bbva.com.co";"3183610140";"MARIA GLADYS GARCIA CALA";"mariagladys.garcia@bbva.com";"3173832474";"cabasb840.co@bbva.com";NA;"SOLICITUD DE UN DIA PARA OTRO";"SIN RESTRICCION";"N/A";"Enviar correo a nelly.landinez@aerooriente.com.co, ENVIAR CON 4 DIAS DE ANTELACION LA PROGRAMACION y con los siguientes requesitos en fisico: diligenciar el formulario con los datos del técnico que realizara el servicio, y la labor a realizar.
-una carta de presentación del técnico elaborada por el proveedor 
-documento de identificación, para fiscales y antecedentes judiciales
";"CORREO BANCO";"N/A";"Dom - Dom";"06:00 - 23:00";"SI";"24 HORAS";"N/A";NA;7,127977;-73,181006;2
"Aeropuerto Cali";NA;"9";471;"AEROPUERTO CALI";"OCCIDENTE";"Pacifico Norte";"VIP";"PALMIRA";"76 - 520";"Valle del Cauca";690;"PALMIRA";"CL 31 # 29-08";"(092) 2755966-2710030-2759780";"DIEBOLD";"DIEBOLD";"OPTEVA 522";"Canyon";"1522FDC08313";"1,30E+11";"POSTERIOR";"NIVEL 7";"Aeropuerto";"PENDIENTE";"AEROPUERTO";"SAT";"ALTA";"ALTA";"SI";"30/11/2010";"27/09/2005";8;"N/A";"INDEPENDIENTE";"COBRE";"3G";"81.128.25.66";"81.128.25.65";"255.255.255.240";"SI APLICA";"TELEFONICA";"J64";"6904";"N/A";"N/A";"BRINKS";"INTERURBANO";"CALI";"NO";"DIEBOLD";"DIEBOLD";"LUNES  A DOMINGO";"40896";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"PRESTIGE";"6 KVA";"ETH";"CGA";"SECURITAS";"yaneth.rueda@bbva.com";3182899443;"MELINA RUSI";"JEFE COMERCIAL Y DE MERCADEO";"ANGELA MARIA SALCEDO BERMUDEZ";"+57(2) 2801515- 6663035/43/26 Ext. 110";"asalcedo@aerocali.com.co-dsanchez@aerocali.com.co";"ALEXANDRA MILENA HENAO BERON";"ALEXANDRA.HENAO@BBVA.COM";"317 4293863";"ALEJANDRO . IBARRA .";"alejandro.ibarra1@bbva.com";"317 6351706";"PALMI690.co@bbva.com";NA;"LUNES A DOMINGO Y FESTIVOS 7:00 A 17:00";"SIN RESTRICCION";"24 HORAS";"UN DIA";"CORREO BANCO";"N/A";"Dom - Dom";"06:00 - 23:00";"SI";"24 HORAS";"Activo";NA;3,5364858;-76,3882125;2
