"";"cod_Cajero";"Vecinos_Raw";"BBVA";"Bancolombia";"Davivienda";"ATH";"Caja_Social";"Citibank";"Colpatria";"Servibanca";"Itau";"Agrario";"Falabella";"Otros"
"1";853;"Davivienda 11 de Noviembre|Bancolombia Cajero|Cajero Automático Red Aval|ATM Servibanca|Cajeros Automáticos ATH|Cajero ATH Puerto Colombia (Del Country) - Banco Popular|Bancolombia Cajero Multifuncional|Davivienda ATM|Cajero ATH Oficina Barranquilla Carrera 43B Calle 69 I - Banco de Bogotá|Cajero AV Villas|Cajero Automático Banco de Bogota|citibank|Bancolombia Cajero|Bank ATM Social Fund|Banco Av Villas|Cajero Automático Red Aval|Banco de Bogota Portal Del Prado|Bancolombia Cajero";0;4;2;9;1;1;0;1;0;0;0;0
"2";315;"Bancolombia Cajero|Cajero Automático servibanca|Cajero Banco Caja Social Plaza Caicedo|Cajero Servibanca|Bancolombia Cajero|COLPATRIA|Cajero ath Banco popular|Cajero banco av villas|servibanca|Cajero Davivienda|Cajero Servibanca|Bancolombia Cajero Multifuncional|Cajero ATH Centro Comercial El Tesoro - Banco de Occidente|Cajero ath banco av villas|Itaú|Bancolombia Cajero";0;4;1;4;1;0;1;4;1;0;0;0
"3";813;"citibank|Cajero ATH Cencosud 20 De Julio I - Banco de Bogotá|Cajero Automático Banco AV Villas|Bancolombia Cajero";0;1;0;2;0;1;0;0;0;0;0;0
"4";93;"citibank|Cajero ATH Cencosud 20 De Julio I - Banco de Bogotá|Cajero Automático Banco AV Villas|Bancolombia Cajero";0;1;0;2;0;1;0;0;0;0;0;0
"5";1158;"Bancolombia Corresponsal Bancario|Cajero Automático Banco de Bogota|Cajero ATH Acacias - Banco Popular|Bancolombia Corresponsal Bancario|Cajero ATH Oficina Parque Riveros Acacias I - Banco de Bogotá|Cajero ATH Acacias II - Banco Popular|Banco Davivienda|Cajero Banco Caja Social|Bancolombia Cajero|Cajero Automático Banco Caja Social|Bancolombia Corresponsal Bancario|Cajero Automático Banco de Bogota|Cajero Automático Banco Popular|Banco Agrario de Colombia|Bancolombia Cajero|Cajero Banco de Occidente Red Aval|Banco Popular";0;5;1;8;2;0;0;0;0;1;0;0
"6";1250;"Bancolombia Corresponsal Bancario|Cajero Automático Banco de Bogota|Cajero ATH Acacias - Banco Popular|Bancolombia Corresponsal Bancario|Cajero ATH Oficina Parque Riveros Acacias I - Banco de Bogotá|Cajero ATH Acacias II - Banco Popular|Banco Davivienda|Cajero Banco Caja Social|Bancolombia Cajero|Cajero Automático Banco Caja Social|Bancolombia Corresponsal Bancario|Cajero Automático Banco de Bogota|Cajero Automático Banco Popular|Banco Agrario de Colombia|Bancolombia Cajero|Cajero Banco de Occidente Red Aval|Banco Popular";0;5;1;8;2;0;0;0;0;1;0;0
"7";79;"Bancolombia Cajero|Cajero Banco de Bógota|cajero automatico corpbanca|Bancolombia Sucursal|Cajero Automático Red Aval";0;2;0;1;0;0;0;0;0;0;0;2
"8";400;"ATM Servibanca|Davivienda ATMs|Cajero Automatico ATH AV Villas|Cajero Banco de Bogotá|Bancolombia Cajero|Cajero servibanca|Cajero Automático Banco Colpatria|Cajero Automático Banco Popular|Colpatria BUCARAMANGA MEGA MALL|Bancolombia Megamall";0;2;1;3;0;0;2;2;0;0;0;0
"9";620;"Cajero ATM Banco de Bogotá - Aeropuerto ATH|Cajero Automático Banco de Bogota";0;0;0;2;0;0;0;0;0;0;0;0
"10";471;"Cajero ATH Aeropuerto Alfonso Bonilla Aragon Cali I - Banco de Bogotá|Bancolombia Cajero";0;1;0;1;0;0;0;0;0;0;0;0
"11";1459;"Cajero ATH Oficina Central De Transportes I - Banco de Bogotá|Cajero Automático Red Aval|Cajero automático Servibanca";0;0;0;2;0;0;0;1;0;0;0;0
"12";587;"Bancolombia Cajero|cajero banco caja social|Cajero ATH Tecnologico El Dorado II - Banco Popular|Davivienda ATH|Bancolombia Cajero|Cajero Ath Puente Aéreo|Cajero Davivienda Aeronáutica Civil|Cajero Automático Red Aval|Cajero Automático Banco Caja Social|Bancolombia Cajero|Cajero Banco Helm Av El Dorado|Bancolombia";0;4;1;4;2;0;0;0;1;0;0;0
"13";751;"Bancolombia Cajero|Davivienda|Cajero ATH Malambo (Aerop. Barranquilla) - Banco Popular|Cajero Automático Banco de Bogota";0;1;1;2;0;0;0;0;0;0;0;0
"14";777;"Cajero Automático Servibanca|Bancolombia Cajero|Cajero Bancolombia Plaza De La Aduana|Cajeros Ath|Cajero ATH Sector Guayabal - Banco Popular|CAJERO DAVIVIENDA|Bancolombia Cajero|Banco Popular ATM|Cajero ATH Tecnologico Cartagena II - Banco Popular|Bancolombia|Cajero Banco de Occidente Plaza Del Ecuador|Davivienda|Bancolombia Corresponsal Bancario|Cajero ATH Centro De Convenciones Cartagena - Banco de Occidente|Davivienda|Cajero ATH Tecnologico San Felipe II - Banco Popular|Cajero Automático Banco Colpatria|Cajero Automático Banco Popular|Bancolombia Cajero Multifuncional";0;6;3;8;0;0;1;1;0;0;0;0
"15";473;"Cajero ATH Aeropuerto Rionegro I - Banco de Bogotá|Cajero Automático Red Aval|Cajero Automático Banco de Bogota";0;0;0;3;0;0;0;0;0;0;0;0
"16";1184;"Cajero ATH Oficina ProVIdencia I - Banco de Bogotá|Cajero Automático Red Aval|Cajero ATH - Banco AV Villas|Cajero Banco Agrario (Servibanca )|Banco Popular|Cajero automático bancolombia|Cajero ath|Cajero Automático Banco Caja Social|Banco Av Villas|Banco agrario de colombia";0;1;0;6;1;0;0;1;0;1;0;0
"17";1460;"Servibanca|NA|Servibanca";0;0;0;0;0;0;0;1;0;0;0;0
"18";1458;"Bancolombia Cajero|Cajero Automático Banco de Bogota|Servibanca";0;1;0;1;0;0;0;1;0;0;0;0
"19";1215;"Bancolombia Cajero|Bancolombia Cajero|Cajero Automático Red Aval|Bancolombia Cajero|Banco Santander ATM|Cajero de Davivienda";0;3;1;1;0;0;0;0;0;0;0;1
"20";1388;"Bancolombia Cajero|EFECTY CENTRO CALLE 2|EFECTY VIA PRINCIPAL CUESTECITAS";0;1;0;0;0;0;0;0;0;0;0;2
"21";464;"Bancolombia Cajero|EFECTY CENTRO CALLE 2|EFECTY VIA PRINCIPAL CUESTECITAS";0;1;0;0;0;0;0;0;0;0;0;2
"22";1567;"Bancolombia Corresponsal Bancario|Banco Agrario|Corresponsal Bancario Bancamía - Villagarzón - Chamos Papelería|EFECTY PARQUE PRINCIPAL|Movil Red Villa Garzon Principal";0;1;0;0;0;0;0;0;0;1;0;3
"23";1344;"Bancolombia Cajero|NA|Bancolombia Cajero";0;1;0;0;0;0;0;0;0;0;0;0
"24";240;"Cajero ATH Oficina Los Canguros Aguazul I - Banco de Bogotá|Bancolombia Cajero|Cajero ATH Oficina Aguazul I - Banco de Bogotá|Cajero Automático Red Aval|Banco de Bogotá Aguazul|Cajero Automático Banco de Bogota|BANCOLOMBIA AGUAZUL|BANCO DAVIVIENDA|Bancamía Aguazul|EFECTY CENTRO|EFECTY TERMINAL|Koaj basic";0;2;1;5;0;0;0;0;0;0;0;4
"25";63;"Cajero ATH Oficina Los Canguros Aguazul I - Banco de Bogotá|Bancolombia Cajero|Cajero ATH Oficina Aguazul I - Banco de Bogotá|Cajero Automático Red Aval|Banco de Bogotá Aguazul|Cajero Automático Banco de Bogota|BANCOLOMBIA AGUAZUL|BANCO DAVIVIENDA|Bancamía Aguazul|EFECTY CENTRO|EFECTY TERMINAL|Koaj basic";0;2;1;5;0;0;0;0;0;0;0;4
"26";202;"Cajero Davivienda Kr88a|Cajero Servibanca Compensar Cl 64g|Banco Caja Social|Cajero Ath Tv93|Cajero Colpatria Centro Empresarial|Cajero Servibanca Tv 93 Cl 64g|Cajero Automático Banco Popular";0;0;1;2;1;0;1;2;0;0;0;0
"27";81;"Bancolombia Cajero|EFECTY CENTRO CALLE 2|EFECTY VIA PRINCIPAL CUESTECITAS";0;1;0;0;0;0;0;0;0;0;0;2
"28";160;"Bancolombia Cajero|EFECTY CENTRO CALLE 2|EFECTY VIA PRINCIPAL CUESTECITAS";0;1;0;0;0;0;0;0;0;0;0;2
"29";281;"Bancolombia Cajero|EFECTY CENTRO CALLE 2|EFECTY VIA PRINCIPAL CUESTECITAS";0;1;0;0;0;0;0;0;0;0;0;2
"30";1164;"CAJERO ATH|Bancolombia Cajero|Cajero Citibank|cajero davivienda|Cajero ATH Metromedell - Banco AV Villas|Cajero Banco de Bogotá Avenida Bolívar|Cajero ATH Oci Ayacucho - Banco AV Villas|Bancolombia Cajero|Bancolombia Cajero|ATM ATH|Cajero ATH Exito VIva Laureles I - Banco de Bogotá|Cajero ATH El Hueco II (Guayaquil) - Banco Popular|Cajero ATH Oficina Centro Admon La Alpujarra - Banco de Occidente|Bancolombia Cajero|Cajero ATH C Cial Metrocentro II (Palace) - Banco Popular|Cajero ATH Centro Comercial Gran Plaza I - Banco de Bogotá|Cajero Automático Banco Caja Social|Cajero Automático Banco AV Villas|Cajero Automático Red Aval";0;4;1;12;1;1;0;0;0;0;0;0
"31";833;"Bancolombia Cajero|Cajero ATH Barrio Modelo - Banco Popular|Cajero ATH Comfacauca - Banco AV Villas|Cajero Automático Banco Colpatria|Cajero Automático Red Aval|Cajero Banco de Occidente Red Aval|Banco AV Villas|Cajero ATH Popayan II - Banco Popular|Cajero ATH Oficina Calle De La Herreria I - Banco de Bogotá|Cajero Automático - Servibanca|COLPATRIA Scotiabank|Banco Davivienda Bario Modelo - Popayán.|Cajero Banco Caja Social|Cajero Automático Banco de Bogota|Cajero Automático Banco AV Villas|Cajero Automático Banco Colpatria|Cajero Automático Red Aval";0;1;1;10;1;0;3;1;0;0;0;0
"32";54;"Cajero Banco Caja Social|Bancolombia Cajero|Cajero Davivienda|Cajero ATH Coonfie Neiva I - Banco de Bogotá|Bancolombia Corresponsal Bancario|Cajero Automático Banco Caja Social|Cajero Automático Banco de Bogota|Bancolombia Cajero|Cajero ATH Centro De Pagos Neiva I - Banco de Bogotá|Davivienda Neiva Centro.|Cajero ATH Neiva Cobra - Banco AV Villas|Cajero ATH Oficina Neiva Calle Septima II - Banco de Bogotá|Bancolombia Cajero Multifuncional|Cajero ATH Tecnologico Neiva III - Banco Popular|Bancolombia Cajero";0;5;2;6;2;0;0;0;0;0;0;0
"33";296;"Cajero Banco Caja Social|Bancolombia Cajero|Cajero Davivienda|Cajero ATH Coonfie Neiva I - Banco de Bogotá|Bancolombia Corresponsal Bancario|Cajero Automático Banco Caja Social|Cajero Automático Banco de Bogota|Bancolombia Cajero|Cajero ATH Centro De Pagos Neiva I - Banco de Bogotá|Davivienda Neiva Centro.|Cajero ATH Neiva Cobra - Banco AV Villas|Cajero ATH Oficina Neiva Calle Septima II - Banco de Bogotá|Bancolombia Cajero Multifuncional|Cajero ATH Tecnologico Neiva III - Banco Popular|Bancolombia Cajero";0;5;2;6;2;0;0;0;0;0;0;0
"34";439;"Cajero Banco Caja Social|Bancolombia Cajero|Cajero Davivienda|Cajero ATH Coonfie Neiva I - Banco de Bogotá|Bancolombia Corresponsal Bancario|Cajero Automático Banco Caja Social|Cajero Automático Banco de Bogota|Bancolombia Cajero|Cajero ATH Centro De Pagos Neiva I - Banco de Bogotá|Davivienda Neiva Centro.|Cajero ATH Neiva Cobra - Banco AV Villas|Cajero ATH Oficina Neiva Calle Septima II - Banco de Bogotá|Bancolombia Cajero Multifuncional|Cajero ATH Tecnologico Neiva III - Banco Popular|Bancolombia Cajero";0;5;2;6;2;0;0;0;0;0;0;0
"35";573;"Bancolombia Cajero|Cajero ATH Escuela Militar Jose Maria Cordova I - Banco de Bogotá|Cajero Automático Red Aval";0;1;0;2;0;0;0;0;0;0;0;0
"36";85;"Bancolombia Cajero Multifuncional|Cajero Davivienda|Cajeros Automaticos Citibank|Cajero AV Villas|Bancolombia Cajero|Cashier Banco Falabella|Bancolombia Cajero|Cajero Automático Red Aval|ATH A Toda Hora Cajero Automático|Bancolombia Cajero|Cajero ATH Prado II - Banco AV Villas|Cajero Automatico Servibanca|Cajero Servibanca Casino|Banco Av Villas|Cajero Davivienda Country Plaza|Bancolombia Cajero|Cajero ATH Escuelanavals - Banco AV Villas";0;5;2;6;0;1;0;2;0;0;1;0
"37";430;"Bancolombia Corresponsal Bancario|Bancolombia Cajero";0;2;0;0;0;0;0;0;0;0;0;0
"38";290;"Bancolombia Corresponsal Bancario|Bancolombia Cajero";0;2;0;0;0;0;0;0;0;0;0;0
"39";64;"Cajero ATH VIlla Del Rosario (Tonchala) - Banco Popular|Bancolombia Corresponsal Bancario|Bancolombia Corresponsal Bancario|Cajero ATH Supermercado Consumax Barrio Lopez I - Banco de Bogotá|Cajero Automático Banco AV Villas|Cajero ATH Oficina Apartado III - Banco de Bogotá|Cajero ATH Colsubsidio Chicala - Banco AV Villas|Bancolombia Cajero|Bancolombia Cajero|Cajero Automático Banco de Bogota|Banco Av Villas|Banco Agrario de Colombia|Cajero Banco de Occidente Red Aval|Davivienda Apartado.|BANCOLOMBIA APARTADO|CFA Cooperativa Financiera Oficina Apartadó|Pagafácil|Bancompartir";0;5;1;8;0;0;0;0;0;1;0;3
"40";172;"Cajero ATH VIlla Del Rosario (Tonchala) - Banco Popular|Bancolombia Corresponsal Bancario|Bancolombia Corresponsal Bancario|Cajero ATH Supermercado Consumax Barrio Lopez I - Banco de Bogotá|Cajero Automático Banco AV Villas|Cajero ATH Oficina Apartado III - Banco de Bogotá|Cajero ATH Colsubsidio Chicala - Banco AV Villas|Bancolombia Cajero|Bancolombia Cajero|Cajero Automático Banco de Bogota|Banco Av Villas|Banco Agrario de Colombia|Cajero Banco de Occidente Red Aval|Davivienda Apartado.|BANCOLOMBIA APARTADO|CFA Cooperativa Financiera Oficina Apartadó|Pagafácil|Bancompartir";0;5;1;8;0;0;0;0;0;1;0;3
"41";182;"Cajero ATH VIlla Del Rosario (Tonchala) - Banco Popular|Bancolombia Corresponsal Bancario|Bancolombia Corresponsal Bancario|Cajero ATH Supermercado Consumax Barrio Lopez I - Banco de Bogotá|Cajero Automático Banco AV Villas|Cajero ATH Oficina Apartado III - Banco de Bogotá|Cajero ATH Colsubsidio Chicala - Banco AV Villas|Bancolombia Cajero|Bancolombia Cajero|Cajero Automático Banco de Bogota|Banco Av Villas|Banco Agrario de Colombia|Cajero Banco de Occidente Red Aval|Davivienda Apartado.|BANCOLOMBIA APARTADO|CFA Cooperativa Financiera Oficina Apartadó|Pagafácil|Bancompartir";0;5;1;8;0;0;0;0;0;1;0;3
"42";83;"Cajero ATH VIlla Del Rosario (Tonchala) - Banco Popular|Bancolombia Corresponsal Bancario|Bancolombia Corresponsal Bancario|Cajero ATH Supermercado Consumax Barrio Lopez I - Banco de Bogotá|Cajero Automático Banco AV Villas|Cajero ATH Oficina Apartado III - Banco de Bogotá|Cajero ATH Colsubsidio Chicala - Banco AV Villas|Bancolombia Cajero|Bancolombia Cajero|Cajero Automático Banco de Bogota|Banco Av Villas|Banco Agrario de Colombia|Cajero Banco de Occidente Red Aval|Davivienda Apartado.|BANCOLOMBIA APARTADO|CFA Cooperativa Financiera Oficina Apartadó|Pagafácil|Bancompartir";0;5;1;8;0;0;0;0;0;1;0;3
"43";1103;"Cajero Banco de Bogotá|Banco Popular|Bancolombia Cajero|Servibanca|Bancolombia Cajero|Bank of Bogota|Cajero ATH Armenia Calle 22 - Banco AV Villas|ATH Cajero Automàtico|Cajero ATH Coofiquindio I - Banco de Bogotá|ATH ATM Armenia Office - Banco de Occidente|Cajero ATH Oficina Ciudad Milagro Armenia I - Banco de Bogotá|Bancolombia Corresponsal Bancario|Servibanca|Cajero Automático Banco Colpatria|Cajero Automático Banco Caja Social|Cajero Automático Banco AV Villas|Cajero Automático Banco de Bogota";0;3;0;10;1;0;1;2;0;0;0;0
"44";1256;"Cajero Davivienda|Cajero Banco Agrario|Cajero Automático Banco de Bogota|Crezcamos|EFECTY CENTRO CARRERA 5 CON CALLE 7|Iglesia Pentecostal Unida de Colombia|EFECTY ARACATACA CENTRO CARRERA 2";0;0;1;1;0;0;0;0;0;1;0;4
