CIUDAD;NOMBRE OFICINA;DIRECCIÓN;INDICATIVO;Tel 1;Tel 2;Tel 3;Tel 4;Tel 5;HORARIO LUNES A VIERNES  Y FIN DE MES;HORARIO ADICIONAL LUNES A VIERNES;SÁBADO;zipcode;lat;lon;Num_Eventos
ACACIAS;ACACIAS;CARRERA 18 No. 12-16;8;6567259;6568035;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;507001;3,9846721;-73,7623894;0
AGUACHICA;AGUACHICA;CALLE 5 no. 21 - 41;5;5653968;5655653;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;8,3096972;-73,61348;5
AGUAZUL;AGUAZUL;CARRERA 17 No. 10-68;8;6384496;6382194;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,1712087;-72,5498297;0
ALBANIA;AGENCIA ALBANIA;PLAZA PRINCIPAL DE ALBANIA;5;7774193;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;11,160651;-72,591907;1
ALBANIA;ALBANIA;CARRERA 12 CALLE 7 Y 8 AVENIDA FERROCARRIL;5;7774193;7774454;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;11,160651;-72,591907;1
APARTADÓ;APARTADO;CARRERA 100 No. 94-38;4;8280327;8281671;8285219;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,8799716;-76,6333145;0
ARAUCA;ARAUCA;CARRERA 21 No. 19- 20;7;8852129;8852089;8852240;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,0841896;-70,7579917;0
ARAUQUITA;AGENCIA ARAUQUITA;CALLE 3 RA No. 4-47;7;8835492;8836587;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,029334;-71,4294759;0
ARMENIA;ARMENIA CENTRO;CARRERA 16 No.19-61;6;7368902;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;5:30 p.m a 7:00 p.m;9:00 a.m a 1:00 p.m;NA;4,5340736;-75,6737144;0
ARMENIA;ARMENIA NORTE;CARRERA 14 No. 16 NORTE-47 AVENIDA BOLIVAR;6;7368904;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;630004;4,5412905;-75,6641917;0
