"CIUDAD";"NOMBRE OFICINA";"DIRECCIÓN";"lat";"lon";"Num_Eventos"
"BOGOTA";"AGENCIA BANCA PERSONAL UNICENTRO";"CALLE 123 CARRERA 15 LOCAL 1-136";4,699548;-74,0332701;15
"BOGOTA";"CHAPINERO";"CARRERA 13 No. 63-39";4,6498036;-74,063513;11
"BOGOTA";"COUNTRY";"CALLE 85 No. 13-66";4,669291;-74,05359;11
"BOGOTA";"LOURDES";"CARRERA 13 NO 60-87";4,6477766;-74,0640112;11
"BOGOTA";"PLAZA 67";"CALLE 67 No. 7-35";4,6508256;-74,0586994;11
"MEDELLÍN";"Agencia LA ALPUJARRA";"CALLE 41 No. 52-57";6,242401;-75,5728679;11
"MEDELLÍN";"SAN DIEGO";"CALLE 34 No. 43-66 LOCAL 1572";6,2348959;-75,5695715;11
"CÚCUTA";"AVENIDA CERO";"AVENIDA CERO No. 12 - 26";7,8856299;-72,4981756;10
"CÚCUTA";"CUCUTA";"CALLE 11 No. 4-26 PISO 2 CENTRO COMERCIAL PLAZA";7,8878237;-72,4966979;10
"BOGOTA";"CALLE 97";"CALLE 97 No. 23-37 L 101-102";4,6845939;-74,0569992;9
"BOGOTA";"EL RETIRO";"CALLE 81 NO. 13-26/44 LOCAL 101";4,68745;-74,054192;9
"MEDELLÍN";"CARRERA OCHENTA";"CALLE 37 No. 80B - 49";6,2450485;-75,6025461;9
"BARRANQUILLA";"ALTO PRADO";"CARRERA 51 B- No. 76-137";11,002099;-74,8076228;8
"BARRANQUILLA";"CALLE 76";"CARRERA 50 No. 76-04";11,0004865;-74,8082585;8
"BARRANQUILLA";"CALLE 84";"CARRERA 51B No. 85 ESQUINA, EDIFICIO TORRES DE CALÁBRIA LOCAL 109.";11,0031222;-74,810525;8
"BARRANQUILLA";"CENTRO COMERCIAL BUENAVISTA";"CALLE 99 ENTRE CARRRERA 52 Y 53 CENTRO COMERCIAL
BUENAVISTA II LOCALES 402, 403 Y 404";11,0051329;-74,8099307;8
"BARRANQUILLA";"CENTRO COMERCIAL UNICO BARRANQUILLA";"CALLE 74 No. 38 D - 113 Local 4B";11,0051329;-74,8099307;8
"BOGOTA";"CARVAJAL";"AVENIDA 1 DE MAYO No. 69C-04";4,6146762;-74,1358729;8
"BOGOTA";"QUIRIGUA";"TRANSVERSAL 94A No. 80D-77";4,7082081;-74,1054343;8
"BOGOTA";"PUENTE LARGO";"TRANSVERSAL 60 No. 108-46";4,6952696;-74,0679184;8
"BOGOTA";"AGENCIA TELEFÓNICA";"TRANSVERSAL 60 No. 114A - 55";4,6968685;-74,0700414;8
"BOGOTA";"AGENCIA NORTH POINT";"CARRERA 7 No. 156 - 80 LOC-101";4,7327913;-74,0235126;7
"CALI";"ACOPI";"AVENIDA 4 NORTE No. 64 N - 74";3,4806609;-76,5218056;7
"CALI";"AVENIDA ROOSEVELT";"AVENIDA ROOSVELT No. 27-50 (CLLE 6)";3,4329112;-76,5388907;7
"CALI";"AVENIDA TERCERA NORTE";"CALLE 47C NORTE No. 3N-09";3,4833063;-76,5182705;7
"CALI";"Agencia LA FLORA";"AVENIDA 6 NORTE NO 42 N-46";3,4795007;-76,5254022;7
"MEDELLÍN";"COLTEJER";"CALLE 52 No. 47-42 LOCAL 215";6,2500271;-75,5681333;7
"MEDELLÍN";"MEDELLIN";"Calle 50 no. 51-28";6,249912;-75,5688218;7
"BOGOTA";"BARRIO RESTREPO";"CALLE 15 SUR No. 20-23";4,5877247;-74,1008122;6
"CALI";"CALI";"CARRERA 5 No.13- 83";3,4525911;-76,530443;6
"CALI";"SEXTA AVENIDA";"AVENIDA 6 NORTE No. 17-03";3,460522;-76,531245;6
"MANIZALES";"BANCA PERSONAL MANIZALES";"EDIF. MÉDICO AV. SANTANDER CARRERA 23 CALLE 66 PISO 14 UNIDAD T-1401";5,0613672;-75,4916808;6
"MANIZALES";"ROSALES";"CARRERA 23 No. 54-44";5,0621602;-75,4942783;6
